nct_id	gender	max_age	max_age_in_years	max_age_number	max_age_unit	min_age	min_age_in_years	min_age_number	min_age_unit
NCT02392429	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02659800	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02398773	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02407405	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02408861	BOTH	999 Years	999	999	Years	19 Years	19	19	Years
NCT02588443	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02470091	BOTH	49 Years	49	49	Years	11 Years	11	11	Years
NCT02417701	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02523014	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02595424	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02446600	FEMALE	999 Years	999	999	Years	19 Years	19	19	Years
NCT02502266	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT02443077	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02423057	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02453620	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02564198	BOTH	21 Years	21	21	Years	12 Months	1	12	Months
NCT02466971	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT02474173	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02484430	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02484443	BOTH	29 Years	29	29	Years	0 Years	0	0	Years
NCT02496663	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02498613	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02503709	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02503722	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02613364	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02308085	FEMALE	42 Years	42	42	Years	18 Years	18	18	Years
NCT02562716	BOTH	75 Years	75	75	Years	18 Years	18	18	Years
NCT02520778	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02520791	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02490878	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02535325	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02535338	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02635009	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02568553	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02567409	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
